academicyear,instname,city,state,zip,sector_revised,carnegie2000,fte_count,grant01,tuitionfee02_tf,grad_rate_150_p4yr
2007,Alabama A & M University,Normal,AL,35762,Public,16,5417,9024552,3650,33.2369942197
2007,University of Alabama at Birmingham,Birmingham,AL,35294-0110,Public,15,13369,8709060,4792,37.6633986928
2007,University of Alabama in Huntsville,Huntsville,AL,35899,Public,16,5607,3839774,4848,44.0878378378
2007,Alabama State University,Montgomery,AL,36101-0271,Public,21,4740,10939691,4008,27.3159144893
2007,The University of Alabama,Tuscaloosa,AL,35487-0166,Public,15,21631,9797048,5278,65.1006711409
2007,Auburn University-Montgomery,Montgomery,AL,36117-3596,Public,21,3785,3801524,5020,26.9473684211
2007,Auburn University Main Campus,Auburn University,AL,36849,Public,15,21457,7568671,5496,63.3859320674
2007,Birmingham Southern College,Birmingham,AL,35254,Private Not-For-Profit,31,1230,445592,22940,71.0594315245
2007,Faulkner University,Montgomery,AL,36109-3378,Private Not-For-Profit,32,2123,4013184,11540,29.4117647059
2007,Huntingdon College,Montgomery,AL,36106-2148,Private Not-For-Profit,31,811,625088,16690,50.6849315068
2007,Jacksonville State University,Jacksonville,AL,36265,Public,21,7232,8889473,4056,37.8718535469
2007,University of West Alabama,Livingston,AL,35470,Public,21,2829,3430106,4308,20.6081081081
2007,Miles College,Fairfield,AL,35064,Private Not-For-Profit,32,1648,4653922,6530,10.8747044917
2007,University of Mobile,Mobile,AL,36663-0220,Private Not-For-Profit,21,1413,1672294,12530,39.3258426966
2007,University of Montevallo,Montevallo,AL,35115,Public,21,2580,1988480,4554,47.1264367816
2007,University of North Alabama,Florence,AL,35632-0001,Public,21,5714,4254403,4297,40.6862745098
2007,Oakwood College,Huntsville,AL,35896,Private Not-For-Profit,32,1687,2202385,12066,44.4444444444
2007,Samford University,Birmingham,AL,35229-2240,Private Not-For-Profit,21,4178,935350,16000,66.8693009119
2007,University of South Alabama,Mobile,AL,36688-0002,Public,16,11063,8423000,4502,36.7365542388
2007,Spring Hill College,Mobile,AL,36608-1791,Private Not-For-Profit,21,1253,916535,22000,55.3784860558
2007,Troy University,Troy,AL,36082-0001,Public,21,18089,19475084,4104,42.8571428571
2007,Tuskegee University,Tuskegee,AL,36088-1920,Private Not-For-Profit,21,2752,3789830,12865,48.992248062
2007,University of Alaska Fairbanks,Fairbanks,AK,99775-7480,Public,16,18322,8918696,4538,25.8409785933
2007,Arizona State University at the Tempe Campus,Tempe,AZ,85287,Public,15,42792,28926000,4688,55.5462184874
2007,University of Arizona,Tucson,AZ,85721-0066,Public,15,32946,16673000,4766,56.0852104068
2007,DeVry University-Arizona,Phoenix,AZ,85021-2995,Private For-Profit,54,1109,1687603,12650,34.6625766871
2007,Grand Canyon University,Phoenix,AZ,85017,Private For-Profit,21,5095,1644129,12500,45.6896551724
2007,Northern Arizona University,Flagstaff,AZ,86011-4132,Public,16,16386,11664839,4546,48.182665424
2007,University of Phoenix-Phoenix-Hohokam Campus,Phoenix,AZ,85040-1958,Private For-Profit,55,10443,6334000,10380,8.47826086957
2007,Prescott College,Prescott,AZ,86301,Private Not-For-Profit,22,934,788676,18746,51.7647058824
2007,Western International University,Phoenix,AZ,85021,Private For-Profit,21,12687,12302000,7992,36.0
2007,University of Arkansas at Little Rock,Little Rock,AR,72204,Public,16,8842,9782894,3889,20.4836415363
2007,University of Arkansas Main Campus,Fayetteville,AR,72701,Public,15,15263,7827431,5808,57.9908675799
2007,University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,Public,32,2850,6547971,4454,32.904148784
2007,Arkansas State University-Main Campus,State University,AR,72467,Public,21,9135,14345153,5710,37.8293601004
2007,Arkansas Tech University,Russellville,AR,72801-2222,Public,21,6145,7602313,3962,38.9121338912
2007,University of Arkansas at Monticello,Monticello,AR,71656,Public,32,2591,4454908,4150,26.2693156733
2007,University of Central Arkansas,Conway,AR,72035-0001,Public,21,11019,9700836,5937,43.5851318945
2007,Harding University,Searcy,AR,72143,Private Not-For-Profit,22,4906,2951076,11650,60.4698672114
2007,Henderson State University,Arkadelphia,AR,71999-0001,Public,21,3217,3909427,4220,32.6359832636
2007,Hendrix College,Conway,AR,72032-3080,Private Not-For-Profit,31,1090,553069,20979,65.5913978495
2007,John Brown University,Siloam Springs,AR,72761,Private Not-For-Profit,32,1883,1188015,16158,70.9543568465
2007,Ouachita Baptist University,Arkadelphia,AR,71998-0001,Private Not-For-Profit,32,1412,863610,15575,66.25
2007,Southern Arkansas University Main Campus,Magnolia,AR,71753,Public,21,2675,3973418,4890,33.8768115942
2007,Academy of Art University,San Francisco,CA,94105,Private For-Profit,56,7445,4800606,14680,35.8974358974
2007,American Intercontinental University,Los Angeles,CA,90066,Private For-Profit,56,859,2187662,21103,10.0
2007,Art Center College of Design,Pasadena,CA,91103,Private Not-For-Profit,56,1520,2236000,26712,93.9393939394
2007,Azusa Pacific University,Azusa,CA,91702-7000,Private Not-For-Profit,21,5948,2215160,23750,64.7291941876
2007,Biola University,La Mirada,CA,90639-0001,Private Not-For-Profit,16,4780,2095000,23782,71.032357473
2007,Brooks Institute of Photography,Santa Barbara,CA,93103,Private For-Profit,56,2235,2663508,25560,33.3333333333
2007,California Baptist University,Riverside,CA,92504-3297,Private Not-For-Profit,21,2858,2242504,19030,63.6363636364
2007,California College of the Arts,Oakland,CA,94618-1487,Private Not-For-Profit,56,1558,1110916,27915,58.3333333333
2007,California Institute of Technology,Pasadena,CA,91125,Private Not-For-Profit,15,2086,279000,31416,89.2523364486
2007,California Lutheran University,Thousand Oaks,CA,91360-2787,Private Not-For-Profit,21,2879,928422,24530,63.0102040816
2007,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,Public,21,17944,7421581,4349,66.1143050389
2007,California State University-Bakersfield,Bakersfield,CA,93311-1099,Public,21,6639,8650722,3387,39.8360655738
2007,California State University-Stanislaus,Turlock,CA,95382,Public,21,6589,7274009,3043,51.5503875969
2007,California State University-San Bernardino,San Bernardino,CA,92407-2397,Public,21,13858,17347080,3092,38.3346425766
2007,California State Polytechnic University-Pomona,Pomona,CA,91768,Public,21,17924,18217968,3015,48.8805970149
2007,California State University-Chico,Chico,CA,95929-0150,Public,21,15083,13051875,3412,52.4378585086
2007,California State University-Dominguez Hills,Carson,CA,90747-0005,Public,21,8940,11503379,3011,28.1639928699
2007,California State University-Fresno,Fresno,CA,93740,Public,21,19010,22995496,3039,48.098663926
2007,California State University-Fullerton,Fullerton,CA,92831-3599,Public,21,28631,21938636,3010,49.8917748918
2007,California State University-East Bay,Hayward,CA,94542,Public,21,10539,9220730,2946,39.8843930636
2007,California State University-Long Beach,Long Beach,CA,90840-0115,Public,21,29816,26376776,2864,46.8316373728
2007,California State University-Los Angeles,Los Angeles,CA,90032,Public,21,16208,21119580,3080,31.3164349959
2007,California State University-Northridge,Northridge,CA,91330,Public,21,27822,31760454,3042,40.5303030303
2007,California State University-Sacramento,Sacramento,CA,95819-2694,Public,21,23786,22055240,3282,42.3617208077
2007,University of California-Berkeley,Berkeley,CA,94720,Public,15,32763,21818000,6654,88.0686249025
2007,University of California-Davis,Davis,CA,95616-8678,Public,15,28011,22975000,7576,79.1136363636
2007,University of California-Irvine,Irvine,CA,92697,Public,15,24569,15393000,6794,79.6036126443
2007,University of California-Los Angeles,Los Angeles,CA,90095,Public,15,35893,26429000,6522,89.97877859
2007,University of California-Riverside,Riverside,CA,92521,Public,15,16533,18059000,6590,65.9479251424
2007,University of California-San Diego,La Jolla,CA,92093,Public,15,25522,20408000,6688,84.3004270284
2007,University of California-Santa Barbara,Santa Barbara,CA,93106,Public,15,20688,13241000,7010,79.9338478501
2007,University of California-Santa Cruz,Santa Cruz,CA,95064,Public,15,15025,10178000,7017,68.2885335148
2007,California Institute of the Arts,Valencia,CA,91355-2397,Private Not-For-Profit,56,1323,766727,30130,56.2962962963
2007,Chapman University,Orange,CA,92866,Private Not-For-Profit,21,9283,3527949,30748,67.2627235213
2007,Concordia University,Irvine,CA,92612-3299,Private Not-For-Profit,22,1902,892501,21130,61.9565217391
2007,Claremont McKenna College,Claremont,CA,91711-6400,Private Not-For-Profit,31,1153,316000,33210,89.2720306513
2007,DeVry University-California,Pomona,CA,91768-2642,Private For-Profit,32,4337,8109024,13343,30.6330837304
2007,Dominican University of California,San Rafael,CA,94901-2298,Private Not-For-Profit,21,1691,1023220,28070,54.3307086614
2007,The Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,90015-1421,Private For-Profit,40,5345,3965726,18710,16.6666666667
2007,Fresno Pacific University,Fresno,CA,93702-4709,Private Not-For-Profit,21,1662,1746750,20790,58.8235294118
2007,Golden Gate University-San Francisco,San Francisco,CA,94105-2968,Private Not-For-Profit,55,2202,115225,11520,50.0
2007,Humboldt State University,Arcata,CA,95521-8299,Public,21,6738,8355772,3175,41.5172413793
2007,ITT Technical Institute-San Diego,San Diego,CA,92123,Private For-Profit,54,864,1460236,14880,73.9130434783
2007,The Art Institute of California-San Diego,San Diego,CA,92108-4423,Private For-Profit,56,1834,2256110,19924,59.2592592593
2007,University of La Verne,La Verne,CA,91750-4401,Private Not-For-Profit,16,5412,3382443,24260,58.7030716724
2007,Loma Linda University,Loma Linda,CA,92350,Private Not-For-Profit,16,5054,2290157,25295,27.8625954198
2007,The Master's College and Seminary,Santa Clarita,CA,91321-1200,Private Not-For-Profit,32,1302,684236,20770,51.2605042017
2007,The Art Institute of California-San Francisco,San Francisco,CA,94102-4908,Private For-Profit,56,1319,2011807,26582,38.8888888889
2007,Loyola Marymount University,Los Angeles,CA,90045-2659,Private Not-For-Profit,21,8306,2938579,29834,75.5573248408
2007,Mills College,Oakland,CA,94613,Private Not-For-Profit,31,1364,1035934,33024,57.1428571429
2007,Mount St Mary's College,Los Angeles,CA,90049-1599,Private Not-For-Profit,21,1963,2442347,24150,46.0992907801
2007,National University,La Jolla,CA,92037-1011,Private Not-For-Profit,21,15392,2763307,9072,53.3333333333
2007,Notre Dame de Namur University,Belmont,CA,94002-1908,Private Not-For-Profit,21,1110,659342,23850,57.6576576577
2007,Occidental College,Los Angeles,CA,90041-3392,Private Not-For-Profit,31,1807,896834,33256,81.3596491228
2007,Otis College of Art and Design,Los Angeles,CA,90045-3505,Private Not-For-Profit,56,1106,1321469,27596,50.0
2007,Pacific Union College,Angwin,CA,94508-9707,Private Not-For-Profit,32,1323,1041757,20265,49.710982659
2007,University of the Pacific,Stockton,CA,95211-0197,Private Not-For-Profit,16,5847,3079260,27350,67.2757475083
2007,Pepperdine University,Malibu,CA,90263,Private Not-For-Profit,16,5834,1343000,32740,79.173553719
2007,Pitzer College,Claremont,CA,91711-6101,Private Not-For-Profit,31,934,439322,34038,71.4285714286
2007,Point Loma Nazarene University,San Diego,CA,92106-2899,Private Not-For-Profit,22,3104,1085218,22150,70.4587155963
2007,Pomona College,Claremont,CA,91711-6319,Private Not-For-Profit,31,1545,491000,31865,93.6386768448
2007,University of Redlands,Redlands,CA,92373-0999,Private Not-For-Profit,21,4044,1733784,28776,67.3735725938
2007,Samuel Merritt College,Oakland,CA,94609,Private Not-For-Profit,53,990,317839,30013,50.0
2007,San Diego State University,San Diego,CA,92182,Public,16,29448,22230928,3160,56.4110245656
2007,University of San Diego,San Diego,CA,92110-2492,Private Not-For-Profit,16,6709,1501981,30704,73.778664008
2007,San Francisco State University,San Francisco,CA,94132,Public,21,24809,21866220,3166,44.1758241758
2007,University of San Francisco,San Francisco,CA,94117-1080,Private Not-For-Profit,16,8019,3340000,28760,65.119047619
2007,San Jose State University,San Jose,CA,95192-0001,Public,21,24170,17693148,3296,41.986806364
2007,Santa Clara University,Santa Clara,CA,95053,Private Not-For-Profit,21,6841,1397000,30900,84.1691248771
2007,Scripps College,Claremont,CA,91711-3948,Private Not-For-Profit,31,884,256075,33700,79.6019900498
2007,Simpson University,Redding,CA,96003-8606,Private Not-For-Profit,22,941,1031016,17800,50.0
2007,Saint Marys College of California,Moraga,CA,94556,Private Not-For-Profit,21,3341,1755828,29050,66.5517241379
2007,Sonoma State University,Rohnert Park,CA,94928-3609,Public,21,7384,4139919,3648,55.5009823183
2007,Vanguard University of Southern California,Costa Mesa,CA,92626,Private Not-For-Profit,32,1867,1193998,21564,51.3846153846
2007,University of Southern California,Los Angeles,CA,90089,Private Not-For-Profit,15,30812,7573004,33892,84.5763939175
2007,Westmont College,Santa Barbara,CA,93108-1089,Private Not-For-Profit,31,1322,429461,29470,69.3989071038
2007,Whittier College,Whittier,CA,90601,Private Not-For-Profit,31,1874,967820,29206,58.1395348837
2007,Woodbury University,Burbank,CA,91510-7846,Private Not-For-Profit,22,1300,,24142,49.1228070175
2007,Adams State College,Alamosa,CO,81102,Public,21,4438,3553491,2924,33.3333333333
2007,University of Colorado at Denver and Health Sciences Center,Denver,CO,80217-3364,Public,16,13496,5952406,5177,39.0243902439
2007,University of Colorado at Colorado Springs,Colorado Springs,CO,80933-7150,Public,21,6827,4119039,4899,40.6369426752
2007,University of Colorado at Boulder,Boulder,CO,80309-0017,Public,15,28079,9704952,5643,67.3921805723
2007,Colorado Christian University,Lakewood,CO,80226,Private Not-For-Profit,21,1533,1253818,17530,7.76699029126
2007,Colorado College,Colorado Springs,CO,80903,Private Not-For-Profit,31,1979,639844,32124,83.0543933054
2007,The Art Institute of Colorado,Denver,CO,80203-2114,Private For-Profit,56,2234,2239937,21252,55.0847457627
2007,Colorado School of Mines,Golden,CO,80401,Public,54,3863,1330447,8835,67.2268907563
2007,Colorado State University,Fort Collins,CO,80523-0100,Public,15,23815,8986790,4717,62.3133315232
2007,Colorado Technical University,Colorado Springs,CO,80907-3812,Private For-Profit,21,1312,1229223,10095,25.3333333333
2007,Westwood College-Denver North,Denver,CO,80221,Private For-Profit,54,3752,8679770,12825,36.690647482
2007,University of Denver,Denver,CO,80208,Private Not-For-Profit,15,8975,1753231,30372,74.2765273312
2007,Fort Lewis College,Durango,CO,81301-3999,Public,31,3713,2691179,5973,29.7039159503
2007,Mesa State College,Grand Junction,CO,81501-3122,Public,31,5159,4859428,3644,53.642384106
2007,Metropolitan State College of Denver,Denver,CO,80217-3362,Public,32,15936,13991464,2836,22.9949874687
2007,Naropa University,Boulder,CO,80302-6697,Private Not-For-Profit,59,922,560079,19426,50.0
2007,University of Northern Colorado,Greeley,CO,80639,Public,16,11670,5152493,3950,48.4345351044
2007,Regis University,Denver,CO,80221-1099,Private Not-For-Profit,21,7796,2397348,25200,60.1423487544
2007,Colorado State University-Pueblo,Pueblo,CO,81001-4901,Public,21,4526,4776225,3947,36.2776025237
2007,United States Air Force Academy,Usafa,CO,80840-5002,Public,59,4524,,0,77.4873524452
2007,Western State College of Colorado,Gunnison,CO,81231,Public,31,2075,1277071,3349,36.3636363636
2007,Albertus Magnus College,New Haven,CT,06511-1189,Private Not-For-Profit,32,2050,1097606,19540,56.880733945
2007,University of Bridgeport,Bridgeport,CT,06604-5620,Private Not-For-Profit,16,3069,1757000,21710,42.8571428571
2007,Central Connecticut State University,New Britain,CT,06050,Public,21,9590,4302629,6442,44.3298969072
2007,University of Connecticut,Storrs,CT,06269,Public,15,25246,8198097,8362,69.4539699288
2007,Eastern Connecticut State University,Willimantic,CT,06226,Public,21,4464,2251721,6572,48.309178744
2007,Fairfield University,Fairfield,CT,06824-5195,Private Not-For-Profit,21,4256,779000,31955,80.6257521059
2007,University of Hartford,West Hartford,CT,06117-1599,Private Not-For-Profit,16,6071,2075206,25766,54.6678635548
2007,University of New Haven,West Haven,CT,06516,Private Not-For-Profit,21,3862,1456797,24645,41.0022779043
2007,Post University,Waterbury,CT,06723,Private For-Profit,32,1029,1292134,21500,36.4161849711
2007,Quinnipiac University,Hamden,CT,06518,Private Not-For-Profit,21,6715,1112482,26280,72.3404255319
2007,Sacred Heart University,Fairfield,CT,06825-1000,Private Not-For-Profit,21,4651,1268384,25300,65.6657963446
2007,Saint Joseph College,West Hartford,CT,06117-2791,Private Not-For-Profit,21,1259,796000,23490,54.5454545455
2007,Southern Connecticut State University,New Haven,CT,06515-1355,Public,21,9626,4591644,6442,37.6487053884
2007,Trinity College,Hartford,CT,06106-3100,Private Not-For-Profit,31,2293,791757,35130,86.5580448065
2007,United States Coast Guard Academy,New London,CT,06320-4195,Public,59,995,,3000,80.8429118774
2007,Wesleyan University,Middletown,CT,06459,Private Not-For-Profit,31,3080,931000,34844,92.243767313
