academicyear,instname,city,state,zip,sector_revised,carnegie2000,fte_count,grant01,tuitionfee02_tf,grad_rate_150_p4yr
2008,Alabama A & M University,Normal,AL,35762,Public,16,5124,9538941,4072,32.5023969319
2008,University of Alabama at Birmingham,Birmingham,AL,35294-0110,Public,15,13146,9108418,4208,39.8426323319
2008,University of Alabama in Huntsville,Huntsville,AL,35899,Public,16,5740,4306328,5216,47.5409836066
2008,Alabama State University,Montgomery,AL,36101-0271,Public,21,4918,12051242,4508,21.199143469
2008,The University of Alabama,Tuscaloosa,AL,35487-0166,Public,15,23499,12663197,5700,64.4487427466
2008,Auburn University-Montgomery,Montgomery,AL,36117-3596,Public,21,3856,4124101,5010,23.5404896422
2008,Auburn University Main Campus,Auburn University,AL,36849,Public,15,21941,8588776,5834,64.1513982642
2008,Birmingham Southern College,Birmingham,AL,35254,Private Not-For-Profit,31,1354,649272,24300,65.5882352941
2008,Faulkner University,Montgomery,AL,36109-3378,Private Not-For-Profit,32,2446,4825418,12000,24.5283018868
2008,Huntingdon College,Montgomery,AL,36106-2148,Private Not-For-Profit,31,853,795808,18270,54.5454545455
2008,Jacksonville State University,Jacksonville,AL,36265,Public,21,7254,9130994,4056,32.672332389
2008,University of West Alabama,Livingston,AL,35470,Public,21,2950,3854565,4608,28.1124497992
2008,Miles College,Fairfield,AL,35064,Private Not-For-Profit,32,1186,5909773,7181,17.6470588235
2008,University of Mobile,Mobile,AL,36663-0220,Private Not-For-Profit,21,1336,1619653,13250,45.4022988506
2008,University of Montevallo,Montevallo,AL,35115,Public,21,2644,2431073,4892,51.503006012
2008,University of North Alabama,Florence,AL,35632-0001,Public,21,5915,4689944,4025,40.9669211196
2008,Oakwood College,Huntsville,AL,35896,Private Not-For-Profit,32,1756,2408385,12668,38.7878787879
2008,Samford University,Birmingham,AL,35229-2240,Private Not-For-Profit,21,4171,920634,17920,76.5337423313
2008,University of South Alabama,Mobile,AL,36688-0002,Public,16,11618,9332000,4822,32.8236493374
