academicyear,instname,city,state,zip,sector_revised,carnegie2000,fte_count,grant01,tuitionfee02_tf,grad_rate_150_p4yr
2006,Alabama A & M University,Normal,AL,35762,Public,16,5497,9197469,3650,33.5294117647
2006,University of Alabama at Birmingham,Birmingham,AL,35294-0110,Public,15,13366,8896712,4792,35.7142857143
2006,University of Alabama in Huntsville,Huntsville,AL,35899,Public,16,5555,3852144,4688,44.2538593482
2006,Alabama State University,Montgomery,AL,36101-0271,Public,21,4689,10288979,4008,28.7968441815
2006,The University of Alabama,Tuscaloosa,AL,35487-0166,Public,15,19790,9799073,4864,63.0977130977
2006,Auburn University-Montgomery,Montgomery,AL,36117-3596,Public,21,3782,3845208,4870,28.8306451613
2006,Auburn University Main Campus,Auburn University,AL,36849,Public,15,21318,7154678,5278,62.7298627299
2006,Birmingham Southern College,Birmingham,AL,35254,Private Not-For-Profit,31,1361,378237,21450,69.2052980132
2006,Faulkner University,Montgomery,AL,36109-3378,Private Not-For-Profit,32,2064,3936870,10450,27.1084337349
2006,Jacksonville State University,Jacksonville,AL,36265,Public,21,7338,7121794,4040,35.2941176471
2006,University of West Alabama,Livingston,AL,35470,Public,21,2464,3203491,4308,26.6253869969
2006,Miles College,Fairfield,AL,35064,Private Not-For-Profit,32,1676,4785724,5826,50.0
2006,University of Mobile,Mobile,AL,36663-0220,Private Not-For-Profit,21,1488,1801295,10540,43.9024390244
2006,University of Montevallo,Montevallo,AL,35115,Public,21,2716,1866566,4554,41.351888668
2006,University of North Alabama,Florence,AL,35632-0001,Public,21,5329,4269176,4060,37.6213592233
2006,Oakwood College,Huntsville,AL,35896,Private Not-For-Profit,32,1634,2219408,11714,50.85995086
2006,Samford University,Birmingham,AL,35229-2240,Private Not-For-Profit,21,4232,936730,14642,70.9923664122
2006,University of South Alabama,Mobile,AL,36688-0002,Public,16,11007,8346000,4502,39.443378119
2006,Spring Hill College,Mobile,AL,36608-1791,Private Not-For-Profit,21,1311,895570,20948,66.5492957746
2006,Troy University,Troy,AL,36082-0001,Public,21,17510,18472308,4104,48.4745762712
2006,Tuskegee University,Tuskegee,AL,36088-1920,Private Not-For-Profit,21,2796,3759888,11990,49.5769881557
2006,University of Alaska Fairbanks,Fairbanks,AK,99775-7480,Public,16,18445,8947449,4156,27.2892112421
2006,Arizona State University at the Tempe Campus,Tempe,AZ,85287,Public,15,44279,30993000,4406,56.376887038
2006,University of Arizona,Tucson,AZ,85721-0066,Public,15,33198,17505000,4498,56.4394635311
2006,DeVry University-Arizona,Phoenix,AZ,85021-2995,Private For-Profit,54,1232,,12100,42.7142857143
