academicyear,instname,city,state,zip,sector_revised,carnegie2000,fte_count,grant01,tuitionfee02_tf,grad_rate_150_p4yr
2005,Alabama A & M University,Normal,AL,35762,Public,16,5627,10268911,3640,31.9531953195
2005,University of Alabama at Birmingham,Birmingham,AL,35294-011,Public,15,13331,9582184,4662,35.8705161855
2005,University of Alabama in Huntsville,Huntsville,AL,35899,Public,16,5530,3688815,4516,43.8432835821
2005,Alabama State University,Montgomery,AL,36101-027,Public,21,4889,10536402,4008,22.866894198
2005,The University of Alabama,Tuscaloosa,AL,35487-016,Public,15,18769,10139174,4630,62.8954224042
2005,Auburn University-Montgomery,Montgomery,AL,36117-359,Public,21,3894,4138125,4460,30.0403225806
2005,Auburn University Main Campus,Auburn University,AL,36849,Public,15,20981,6895173,4828,61.9008935825
2005,Birmingham Southern College,Birmingham,AL,35254,Private Not-For-Profit,31,1409,428536,20073,69.2307692308
2005,Concordia College,Selma,AL,36701,Private Not-For-Profit,33,804,2236291,6264,12.987012987
2005,Faulkner University,Montgomery,AL,36109-337,Private Not-For-Profit,32,2156,4145381,9850,35.6756756757
2005,Jacksonville State University,Jacksonville,AL,36265,Public,21,7249,8538454,4040,35.5279503106
2005,University of West Alabama,Livingston,AL,35470,Public,21,2162,2622022,4196,31.067961165
2005,Miles College,Fairfield,AL,35064,Private Not-For-Profit,32,1645,4888588,5668,68.6520376176
2005,University of Mobile,Mobile,AL,36663-022,Private Not-For-Profit,21,1496,2004782,9890,50.4901960784
2005,University of Montevallo,Montevallo,AL,35115,Public,21,2729,2080193,4418,45.4372623574
2005,University of North Alabama,Florence,AL,35632-000,Public,21,5028,4217278,3850,37.5772558714
2005,Oakwood College,Huntsville,AL,35896,Private Not-For-Profit,32,1637,2362322,11298,46.5425531915
2005,Samford University,Birmingham,AL,35229-224,Private Not-For-Profit,21,4137,994876,13944,69.6562032885
2005,University of South Alabama,Mobile,AL,36688-000,Public,16,11102,8805000,4290,32.9493087558
2005,Spring Hill College,Mobile,AL,36608-179,Private Not-For-Profit,21,1220,925796,19950,62.2073578595
2005,Stillman College,Tuscaloosa,AL,35403,Private Not-For-Profit,32,1072,2546406,10596,52.2048364154
2005,Troy University,Troy,AL,36082-000,Public,21,19359,17662940,4162,50.7317073171
2005,Tuskegee University,Tuskegee,AL,36088-192,Private Not-For-Profit,21,2763,3696517,11590,42.4153166421
2005,University of Alaska Fairbanks,Fairbanks,AK,99775-748,Public,16,18722,9239714,4355,24.8
2005,Arizona State University at the Tempe Campus,Tempe,AZ,85287,Public,15,42189,31995000,4064,54.9333333333
2005,University of Arizona,Tucson,AZ,85721-006,Public,15,32983,18446000,4098,58.9153335934
2005,Grand Canyon University,Phoenix,AZ,85017,Private For-Profit,21,2683,720203,14500,48.7179487179
2005,Northern Arizona University,Flagstaff,AZ,86011-413,Public,16,15440,12296880,4073,48.1498612396
2005,University of Phoenix-Phoenix-Hohokam Campus,Phoenix,AZ,85040-195,Private For-Profit,55,13490,6458448,9090,8.57142857143
2005,Prescott College,Prescott,AZ,86301,Private Not-For-Profit,22,956,841512,16490,43.0107526882
2005,Western International University,Phoenix,AZ,85021,Private For-Profit,21,2422,41892104,7972.87841796875,15.5555555556
2005,University of Arkansas at Little Rock,Little Rock,AR,72204,Public,16,8810,10936629,3216,20.9443099274
2005,University of Arkansas Main Campus,Fayetteville,AR,72701,Public,15,14605,8593447,5135,56.4184559159
2005,University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,Public,32,3076,7244277,4044,30.3353658537
2005,Arkansas State University-Main Campus,State University,AR,72467,Public,21,8747,12188545,5155,39.1172914148
2005,Arkansas Tech University,Russellville,AR,72801-222,Public,21,5775,7621538,3982,35.0724637681
2005,University of Arkansas at Monticello,Monticello,AR,71656,Public,32,2597,4808967,3625,30.905511811
2005,University of Central Arkansas,Conway,AR,72035-000,Public,21,9351,9365081,5053,40.3123192597
2005,Harding University,Searcy,AR,72143,Private Not-For-Profit,22,4709,3648812,10780,58.5547290117
2005,Henderson State University,Arkadelphia,AR,71999-000,Public,21,3145,4299269,4121,32.0855614973
2005,Hendrix College,Conway,AR,72032-308,Private Not-For-Profit,31,1036,591152,16710,60.6060606061
2005,John Brown University,Siloam Springs,AR,72761,Private Not-For-Profit,32,1782,1363159,14434,59.022556391
2005,Ouachita Baptist University,Arkadelphia,AR,71998-000,Private Not-For-Profit,32,1467,1081814,13353,60.4966139955
2005,Philander Smith College,Little Rock,AR,72202-379,Private Not-For-Profit,32,847,2401686,6396,16.9117647059
2005,Southern Arkansas University Main Campus,Magnolia,AR,71753,Public,21,2673,4044600,3798,47.8260869565
2005,Academy of Art University,San Francisco,CA,94105,Private For-Profit,56,5872,4351543,13340,29.5731707317
2005,American Intercontinental University,Los Angeles,CA,90066,Private For-Profit,56,1779,3472230,25000,1.72413793103
2005,Art Center College of Design,Pasadena,CA,91103,Private Not-For-Profit,56,1520,2337000,24125,75.0
2005,Azusa Pacific University,Azusa,CA,91702-700,Private Not-For-Profit,21,5915,2258419,20386,86.1995753715
2005,Biola University,La Mirada,CA,90639-000,Private Not-For-Profit,16,4468,2091000,20932,68.9165186501
2005,Brooks Institute of Photography,Santa Barbara,CA,93103,Private For-Profit,56,2791,2599643,22200,62.3076923077
2005,California Baptist University,Riverside,CA,92504-329,Private Not-For-Profit,21,2365,2150630,16040,56.3063063063
2005,California College of the Arts,Oakland,CA,94618-148,Private Not-For-Profit,56,1501,1033207,24640,52.0408163265
