academicyear,instname,city,state,zip,sector_revised,carnegie2000,fte_count,grant01,tuitionfee02_tf,grad_rate_150_p4yr
2002,Alabama A & M University,Normal,AL,35762,Public,16,5223,8200146,2800,38.8268156425
2002,University of Alabama at Birmingham,Birmingham,AL,35294-011,Public,15,11614,7893620,3640,37.6585365854
2002,University of Alabama in Huntsville,Huntsville,AL,35899,Public,16,4996,2919325,3536,36.5853658537
2002,Alabama State University,Montgomery,AL,36101-027,Public,21,4804,9870432,2904,20.7122774133
2002,The University of Alabama,Tuscaloosa,AL,35487-016,Public,15,17277,9863993,3292,62.7623230844
2002,Auburn University-Montgomery,Montgomery,AL,36117-359,Public,21,3647,3971199,3440,26.4598540146
2002,Auburn University Main Campus,Auburn University,AL,36849,Public,15,20491,6544987,3380,67.5083662915
2002,Birmingham Southern College,Birmingham,AL,35254,Private Not-For-Profit,31,1362,430883,17185,74.6323529412
2002,Faulkner University,Montgomery,AL,36109-337,Private Not-For-Profit,32,2186,3277035,8700,30.2631578947
2002,Jacksonville State University,Jacksonville,AL,36265,Public,21,6784,7544597,2940,36.8421052632
2002,University of West Alabama,Livingston,AL,35470,Public,21,1791,2325434,3174,31.7365269461
2002,Miles College,Fairfield,AL,35064,Private Not-For-Profit,32,1545,4825633,4788,72.7828746177
2002,University of Mobile,Mobile,AL,36663-022,Private Not-For-Profit,21,1631,2159405,8790,47.7272727273
2002,University of Montevallo,Montevallo,AL,35115,Public,21,2624,1644264,3218,42.8865979381
2002,University of North Alabama,Florence,AL,35632-000,Public,21,4709,4152427,2862,37.0886075949
2002,Oakwood College,Huntsville,AL,35896,Private Not-For-Profit,32,1659,2258802,9420,41.9161676647
2002,Samford University,Birmingham,AL,35229-224,Private Not-For-Profit,21,4101,883583,11490,67.4922600619
2002,University of South Alabama,Mobile,AL,36688-000,Public,16,9385,6289000,3230,33.9015151515
2002,Spring Hill College,Mobile,AL,36608-179,Private Not-For-Profit,21,1213,849336,17230,63.184079602
2002,Stillman College,Tuscaloosa,AL,35403,Private Not-For-Profit,32,1492,3210224,7374,88.3720930233
2002,Troy University,Troy,AL,36082-000,Public,21,12650,9565270,3296,50.7042253521
2002,Tuskegee University,Tuskegee,AL,36088-192,Private Not-For-Profit,21,2751,3521063,10496,49.5061728395
2002,University of Alaska Fairbanks,Fairbanks,AK,99775-748,Public,16,16625,7153617,3477,39.092495637
2002,Arizona State University at the Tempe Campus,Tempe,AZ,85287,Public,15,38602,21844000,2488,51.9120219945
2002,University of Arizona,Tucson,AZ,85721-006,Public,15,31519,15983000,2490,54.5681477783
2002,DeVry University-Arizona,Phoenix,AZ,85021-299,Private For-Profit,54,2623,6210260,8805,38.5356454721
2002,Northern Arizona University,Flagstaff,AZ,86011-413,Public,16,15663,10462424,2488,45.6550507278
2002,Prescott College,Prescott,AZ,86301,Private Not-For-Profit,22,930,706049,13430,28.9473684211
2002,Western International University,Phoenix,AZ,85021,Private For-Profit,21,1322,360061,7800,10.5263157895
2002,University of Arkansas at Little Rock,Little Rock,AR,72204,Public,16,8293,9597132,3138,22.1418234443
2002,University of Arkansas Main Campus,Fayetteville,AR,72701,Public,15,13601,8434516,3880,45.5841766329
2002,University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,Public,32,2902,6065017,3209,27.4782608696
2002,Arkansas State University-Main Campus,State University,AR,72467,Public,21,8855,10142527,4270,36.432160804
2002,Arkansas Tech University,Russellville,AR,72801-222,Public,21,4926,5211184,2976,40.7239819005
2002,University of Arkansas at Monticello,Monticello,AR,71656,Public,32,2025,3207341,2935,26.7699115044
2002,University of Central Arkansas,Conway,AR,72035-000,Public,21,7818,6739822,3738,36.709721278
2002,Harding University,Searcy,AR,72143,Private Not-For-Profit,22,4348,3216398,8980,56.7375886525
2002,Henderson State University,Arkadelphia,AR,71999-000,Public,21,3088,3659078,3009,29.69348659
2002,Hendrix College,Conway,AR,72032-308,Private Not-For-Profit,31,1078,574635,13711,68.3006535948
2002,John Brown University,Siloam Springs,AR,72761,Private Not-For-Profit,32,1548,809084,12374,55.6390977444
2002,Ouachita Baptist University,Arkadelphia,AR,71998-000,Private Not-For-Profit,32,1592,961173,12010,51.8847006652
2002,Southern Arkansas University Main Campus,Magnolia,AR,71753,Public,21,2743,3634707,2670,29.3203883495
2002,Academy of Art University,San Francisco,CA,94105,Private For-Profit,56,4926,2854442,12090,32.2429906542
2002,Art Center College of Design,Pasadena,CA,91103,Private Not-For-Profit,56,1465,1849000,20490,80.0
2002,Azusa Pacific University,Azusa,CA,91702-700,Private Not-For-Profit,21,5631,2230985,17085,55.4298642534
2002,Biola University,La Mirada,CA,90639-000,Private Not-For-Profit,16,3656,1515000,17410,62.6535626536
