academicyear,instname,city,state,zip,sector_revised,carnegie2000,fte_count,grant01,tuitionfee02_tf,grad_rate_150_p4yr
2009,Alabama A & M University,Normal,AL,35762,Public,16,4629,11805130,4072,28.749028749
2009,University of Alabama at Birmingham,Birmingham,AL,35294-0110,Public,15,13041,11179118,4664,39.5768512757
2009,University of Alabama in Huntsville,Huntsville,AL,35899,Public,16,5851,5205261,5952,47.5452196382
2009,Alabama State University,Montgomery,AL,36101-0271,Public,21,4938,15141911,5460,21.7354675653
2009,The University of Alabama,Tuscaloosa,AL,35487-0166,Public,15,24873,17383634,6400,65.928906774
2009,Auburn University-Montgomery,Montgomery,AL,36117-3596,Public,21,4007,5671940,5580,27.7070063694
2009,Auburn University Main Campus,Auburn University,AL,36849,Public,15,22279,10752792,6500,67.091007584
2009,Birmingham Southern College,Birmingham,AL,35254,Private Not-For-Profit,31,1428,845716,25586,72.0338983051
2009,Faulkner University,Montgomery,AL,36109-3378,Private Not-For-Profit,32,2705,5753876,12700,35.2173913043
2009,Huntingdon College,Montgomery,AL,36106-2148,Private Not-For-Profit,31,941,1060908,20020,45.8128078818
2009,Jacksonville State University,Jacksonville,AL,36265,Public,21,7535,10972725,4560,34.9616858238
2009,University of West Alabama,Livingston,AL,35470,Public,21,4249,4600339,5100,34.6863468635
2009,Miles College,Fairfield,AL,35064,Private Not-For-Profit,32,1735,5840668,7968,20.7492795389
2009,University of Mobile,Mobile,AL,36613-2842,Private Not-For-Profit,21,1424,1886418,14000,62.2950819672
2009,University of Montevallo,Montevallo,AL,35115-6000,Public,21,2697,3268039,6650,44.5920303605
2009,University of North Alabama,Florence,AL,35632-0001,Public,21,5994,5745209,5598,39.670468948
2009,Oakwood University,Huntsville,AL,35896,Private Not-For-Profit,32,1785,2733292,13174,40.1459854015
2009,Samford University,Birmingham,AL,35229-2240,Private Not-For-Profit,21,4178,1063978,19410,74.0469208211
2009,University of South Alabama,Mobile,AL,36688-0002,Public,16,11849,12400000,5512,37.0494551551
2009,Spring Hill College,Mobile,AL,36608-1791,Private Not-For-Profit,21,1320,1234576,24240,60.7142857143
