academicyear,instname,city,state,zip,sector_revised,carnegie2000,fte_count,grant01,tuitionfee02_tf,grad_rate_150_p4yr
2010,Alabama A & M University,Normal,AL,35762,Public,16,4796.244971,14808815,4692,33.0550918197
2010,University of Alabama at Birmingham,Birmingham,AL,35294-0110,Public,15,13651.56008,16255850,5096,41.0691003911
2010,University of Alabama in Huntsville,Huntsville,AL,35899,Public,16,6085.222933,7894629,6510,43.6447166922
2010,Alabama State University,Montgomery,AL,36101-0271,Public,21,4941.444008,19389197,6468,23.9894551845
2010,The University of Alabama,Tuscaloosa,AL,35487-0166,Public,15,26378.53837,23497046,7000,67.26443769
2010,Auburn University at Montgomery,Montgomery,AL,36117-3596,Public,21,4265.466737,8089902,5970,24.5499181669
2010,Auburn University Main Campus,Auburn University,AL,36849,Public,15,22364.690711,15114918,6972,66.4431405421
2010,Birmingham Southern College,Birmingham,AL,35254,Private Not-For-Profit,31,1514.166091,1453966,26746,63.4877384196
2010,Faulkner University,Montgomery,AL,36109-3378,Private Not-For-Profit,32,2823.31298,8583834,13690,37.2972972973
2010,Jacksonville State University,Jacksonville,AL,36265,Public,21,7452.903807,15844393,5970,33.0383480826
2010,University of West Alabama,Livingston,AL,35470,Public,21,3336.88212,6360535,5780,30.9623430962
2010,Miles College,Fairfield,AL,35064-2621,Private Not-For-Profit,32,1716.321411,7385061,9164,25.4320987654
2010,University of Mobile,Mobile,AL,36613-2842,Private Not-For-Profit,21,1405.479955,2755721,15000,41.0788381743
2010,University of Montevallo,Montevallo,AL,35115-6000,Public,21,2705.153672,4536182,7010,40.7786885246
2010,University of North Alabama,Florence,AL,35632-0001,Public,21,6054.172464,9555971,4914,33.0607476636
2010,Oakwood University,Huntsville,AL,35896,Private Not-For-Profit,32,1792.588001,3652391,13834,40.2777777778
2010,Samford University,Birmingham,AL,35229-2240,Private Not-For-Profit,21,4348.782124,1544702,20420,73.3834586466
2010,University of South Alabama,Mobile,AL,36688-0002,Public,16,12352.330697,17137000,5962,36.8167202572
2010,Spring Hill College,Mobile,AL,36608-1791,Private Not-For-Profit,21,1330.180897,1843656,25450,64.4012944984
2010,Stillman College,Tuscaloosa,AL,35403,Private Not-For-Profit,32,1023.999996,4211161,13462,23.8372093023
2010,Troy University,Troy,AL,36082-0001,Public,21,19513.126536,43505164,4924,37.1338083927
2010,Tuskegee University,Tuskegee,AL,36088-1920,Private Not-For-Profit,21,2884.023231,7231286,16280,46.362339515
2010,University of Alaska Fairbanks,Fairbanks,AK,99775-7480,Public,16,19614.279735,12681233,5408,30.8609271523
2010,Everest College-Phoenix,Phoenix,AZ,85021-1641,Private For-Profit,40,4895.249901,30636234,15024,44.0
2010,Collins College,Phoenix,AZ,85040,Private For-Profit,56,1072.642834,3936057,34063,32.9842931937
